ROUTEID,R2,MODEL,MAE,RMSE,Weight
7_66,0.4934335618639952,RFR,-476.0137673460112,-792.1963084886715,0.0008723027377732
33A_25,0.4104375864568448,RFR,-377.8554693479285,-566.179122143565,0.00086444415455
83A_20,0.2514017537635788,RFR,-354.9940101787335,-496.7146190422166,0.0008565855713268
69_45,0.233636046507815,LR,-573.1198527018229,-909.0962727864584,0.0008314381050126
83A_26,0.2347215856246934,RFR,-346.7716871797873,-481.0831461275611,0.0007921451888967
33A_22,0.5622264007752251,RFR,-302.9781302614602,-440.0105707486716,0.0007905734722521
40B_63,0.4464830710139626,RFR,-306.450602788251,-484.8271245706063,0.0007591391393593
13_66,0.3694051989240268,LR,-537.0121306054814,-723.672493925042,0.0007512805561362
84_31,0.4467263202913929,RFR,-491.4373428734845,-758.7199238534613,0.0007481371228469
41B_52,0.5506290595089388,RFR,-401.5643852208871,-594.6104371571981,0.0007387068229791
68_80,0.343964611421327,RFR,-342.2954917478521,-458.5884553358002,0.0007308482397559
185_50,0.3173289302731364,LR,-161.49409822702978,-268.2271237406898,0.0007041290567971
84_28,0.3180134225469115,KNNR,-598.6546569244983,-945.6360000966542,0.0006946987569293
1_41,0.7349947744164206,KNNR,-190.23853923853923,-249.96198840183112,0.0006726947239043
17A_12,0.4723137775814578,RFR,-235.50121261980016,-334.9712858320415,0.0006695512906151
17A_14,0.6300392100649449,RFR,-336.9208414072786,-511.0766559654515,0.0006632644240365
41B_53,0.5465175009519575,RFR,-391.7836109468864,-529.6984546673442,0.0006255432245653
45A_70,0.3151421946996774,RFR,-436.7061856396894,-556.9340235576569,0.000622399791276
4_14,0.6010904871636963,RFR,-488.2033108943024,-662.7708954922758,0.0005988240416064
41_22,0.4217107559681712,LR,-492.954833984375,-725.2945963541666,0.0005893937417386
1_38,0.590807654350142,LR,-183.36631032851375,-252.56153980731267,0.000587822025094
41C_83,0.4429819923570989,LR,-542.3635559082031,-795.3372599283854,0.0005736765752923
41C_80,0.3969478626821063,RFR,-333.7573921851248,-497.74611669988826,0.0005658179920691
41C_84,0.5028061573171189,RFR,-429.82034853137225,-646.2478368894783,0.0005516725422673
46A_66,0.3941373175201813,KNNR,-207.22062185642437,-279.4248340910912,0.0005060927595729
27_9,0.5249626907272688,RFR,-241.093391760949,-350.2240058105924,0.0004998058929943
13_72,0.3411778542080024,LR,-490.2927121181703,-673.8737508389205,0.0004966624597051
16_21,0.520917569142621,LR,-439.06637581314016,-609.2001482290935,0.0004903755931265
17_16,0.5259716337746566,RFR,-252.96751830649129,-366.275900771772,0.0004825170099033
17_11,0.4254165434875461,RFR,-316.7966607040178,-455.5675227162826,0.0004746584266802
102_10,0.495568917470728,LR,-234.73539225260416,-309.05446370442706,0.0004683715601016
45A_68,0.4457137762281047,RFR,-386.6186915269789,-566.4421959682154,0.000466799843457
13_63,0.5507127239003706,KNNR,-495.8234695176277,-668.4684551097085,0.0004605129768784
150_10,0.3053525904203716,RFR,-389.8353818131392,-514.2093720439169,0.0004605129768784
145_91,0.2826253540544701,LR,-454.230224609375,-601.9238077799479,0.0004542261102999
